2015-01-18T00:05:34: Launching bolt session for c:\users\ahankendi\documents\visual studio 2013\projects\pageguidemvc\.pageguidemvc.boltdata - SessionId: 363e9762-56f1-4560-9ec2-56965250a259
2015-01-18T00:05:36: NOT LICENSED: License for NC-DSK expired 08.01.2015.
2015-01-18T00:26:41: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:27:11: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:27:11: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:27:41: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:27:41: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:28:11: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:28:11: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:28:41: GET http://127.0.0.1:11235/serveravailable.json 200 0,002s 
2015-01-18T00:28:41: GET http://127.0.0.1:11235/serveravailable.json 200 0,002s 
2015-01-18T00:29:11: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:29:11: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:29:41: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:29:41: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:30:11: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:30:11: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:30:41: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:30:41: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:31:11: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:31:12: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:31:41: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:31:42: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:32:11: GET http://127.0.0.1:11235/serveravailable.json 200 0,002s 
2015-01-18T00:32:12: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:32:41: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:32:42: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:33:11: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:33:12: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:33:41: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:33:42: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:34:11: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:34:12: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:34:41: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:34:42: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:35:11: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:35:12: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:35:41: GET http://127.0.0.1:11235/serveravailable.json 200 0,002s 
2015-01-18T00:35:42: GET http://127.0.0.1:11235/serveravailable.json 200 0,002s 
2015-01-18T00:36:11: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:36:12: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:36:41: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:36:42: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:37:12: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:37:12: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:37:42: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:37:42: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:38:12: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:38:12: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:38:42: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:38:42: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:39:12: GET http://127.0.0.1:11235/serveravailable.json 200 0,002s 
2015-01-18T00:39:12: GET http://127.0.0.1:11235/serveravailable.json 200 0,002s 
2015-01-18T00:39:42: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:39:42: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:40:12: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:40:12: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:40:42: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:40:42: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:41:12: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:41:12: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:41:42: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:41:42: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:42:12: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:42:12: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:42:42: GET http://127.0.0.1:11235/serveravailable.json 200 0,003s 
2015-01-18T00:42:42: GET http://127.0.0.1:11235/serveravailable.json 200 0,002s 
2015-01-18T00:43:12: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:43:12: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:43:42: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:43:42: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:44:12: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:44:12: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:44:42: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:44:42: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:45:12: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:45:12: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:45:42: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:45:42: GET http://127.0.0.1:11235/serveravailable.json 200 0,002s 
2015-01-18T00:46:12: GET http://127.0.0.1:11235/serveravailable.json 200 0,002s 
2015-01-18T00:46:12: GET http://127.0.0.1:11235/serveravailable.json 200 0,002s 
2015-01-18T00:46:42: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:46:42: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:47:12: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:47:12: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:47:42: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:47:42: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:48:12: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:48:12: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:48:42: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:48:42: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
